id,net_price,name,hierarchy_id
3100,6990.0,2 Mojitos x6990,AB.075
1600,5990.0,Only Chicken,AB.030
1630,1290.0,Agua sin Gas,AB.050
4341,0.0,beefie compartir,AB.530
4550,9990.0,Hamburguesa Original,AB.520
GETJUSTOEX0013,0.0,coca cola sin azucar promo,BA.200
1250uber,4690.0,pollo albahaca individual,AB.100110
4110,4990.0,TERREMOTO,AB.006
6200,0.0,Agua con Gas promo,BA.520
3180,7990.0,"Hamburguesa italiana con papas fritas (Mayo, palta, lechuga , tomate )",AB.020
1390,990.0,fanta,AB.050
4370,0.0,cheese and bacon individual,AB.530
4380,0.0,mechada individual,AB.530
4320,8990.0,Hamburguesa Hot,AB.520
4200,0.0,Pulpo asado y papas ,AB.510
7740,5990.0,Piña colada,AB.075
1510,11990.0,2 hamburguesas con papas + 2 bebidas,AB.070
500000,0.0,Hamburguesa Clasica con papas promo,AB.070
60000,0.0,coca cola promo,AB.008
60010,0.0,coca cola sin azucar promo,AB.008
2610,3590.0,Kunstman Torobayo,AB.080
3170,8990.0,2 Pisco sour,AB.072
7900,8990.0,2 mistral 35 ,AB.550
7910,8990.0,2 mistral de 40,AB.550
6660,4490.0,Mistral 40,AB.075
1270,900.0,Cheddar,AB.040
3360,3590.0,BLUE MOON,AB.080
GETJUSTOEX0062,0.0,mechada compartir promo,BA.260
1400,990.0,sprite,AB.050
3550,8000.0,2 SCHOP CALAFATE,AB.085
2260,0.0,jugo durazno promo,BA.326
2370,0.0,choclo champiñon compartir promo,BA.330
7340,6990.0,Espiritu de los andes ,AB.075
2310,0.0,mechada compartir promo,BA.330
1730,650.0,coca cola sin azucar,AB.100140
8040,6990.0,Sandi spritz ,AB.007
4560,5940.0,Hamburguesa Blueshop,AB.520
7720,6990.0,Candy,AB.075
4351,0.0,choclo champiñon compartir,AB.530
7680,6990.0,Sisi baileys,AB.075
GETJUSTOEX0061,0.0,mexa compartir promo,BA.260
7360,7990.0,Atardecer,AB.075
4400,0.0,chicken curry individual,AB.530
7010,12990.0,2 hamburguesas con papas + 2 bebidas,AB.420
6010,0.0,Hamburguesa Hot con papas promo,AB.420
4411,0.0,pollo albahaca compartir,AB.530
4570,9990.0,Hamburguesa Fry chicken tutri,AB.520
3370,0.0,Hamburguesa Americana sin papas,AB.125
1310,900.0,choclo champiñon extra,AB.040
1300,900.0,Guacamole,AB.040
1240,300.0,Crema acida,AB.040
1020,4990.0,beefie individual,AB.010
GETJUSTOEX0035,0.0,Aparte,AB.040
1000,2990.0,single fries individual,AB.010
400000,0.0,coca cola,AB.030
4660,7990.0,Hamburguesa Blueshop sin papas,AB.125
UBEREATS0021,0.0,Salsa de la casa ,AB.100130
1990,0.0,Hamburguesa Hot con papas promo,BA.325
6470,4990.0,Pisco Sour,AB.075
6480,4990.0,Tom Collins ,AB.075
UBEREATS0001,2490.0,single fries compartir,AB.100110
1260,900.0,beefie extra local,AB.040
UBEREATS0006,4290.0,mechada individual,AB.100110
uber1600,6390.0,Only Chicken,AB.100115
1670,0.0,Agua sin Gas,AB.050
4750,250.0,ENVASE PARA LLEVAR ,AB.006
3380,6490.0,Hamburguesa Clasica sin papas,AB.125
9151,4490.0,beefie compartir,AB.400
TOTEATDVYERROR,7990.0,Hamburguesa Vegetariana,AB.
6410,6990.0,Calypso,AB.075
6420,6990.0,Carnavalera,AB.075
2350,0.0,veggie compartir promo,BA.330
7750,8990.0,2 Red label ,AB.550
1120,5290.0,chicken curry individual,AB.010
1130,5990.0,chicken curry compartir,AB.010
7260,5990.0,Habana especial,AB.075
GETJUSTOEX0034,0.0,En las papas,BA.310
1320,900.0,Vegetales salteados,AB.040
4410,0.0,pollo albahaca individual,AB.530
6430,5990.0,Aperol Spritz,AB.075
2910,1990.0,Red bull,AB.050
3210,5990.0,Caipiriña happy,AB.073
7000,11990.0,2 papas grandes + 2 bebidas,AB.420
6370,0.0,choclo champiñon compartir promo,BA.530
6320,0.0,mechada compartir promo,BA.530
UBEREATS0005,3540.0,mexa compartir,AB.100110
UBEREATS0014,900.0,Cheddar,AB.100130
UBEREATS0024,0.0,Honey mustard,AB.100130
2990,3490.0,Tubinger Summer ale ,AB.085
1280,900.0,Bacon,AB.040
4170,6990.0,Nachos ,AB.510
UBEREATS0027,0.0,sprite,AB.100140
3400,7990.0,Hamburguesa Vegetariana sin papas,AB.125
3440,0.0,Hamburguesa Hot sin papas promo,AB.070
4450,9990.0,Hamburguesa Original,AB.020
6570,4612.0,Old Fashioned ,AB.075
UBEREATS0025,400.0,coca cola,AB.100140
4190,0.0,Tiraditos de salmón ,AB.510
6380,6990.0,Chuao Shop,AB.075
2940,7990.0,2x1 Sandy Spritz,AB.075
7020,4990.0,Ballantine's ,AB.075
6630,4490.0,Alto del Carmen 35,AB.075
6160,0.0,jugo de piña promo,BA.520
2960,5490.0,Arroz chaufa,AB.095
2950,5490.0,Tallarines salteados ,AB.095
7970,4490.0,Piscola promo,AB.007
2580,0.0,Heineken,AB.080
GETJUSTOEX0063,0.0,chicken curry compartir promo,BA.260
2690,5990.0,2x1 Caipiri'a,AB.075
7980,6690.0,Mojito tradicional,AB.007
4391,0.0,mexa compartir,AB.530
1080,4990.0,mexa individual,AB.010
1800,4490.0,Hamburguesa Hot,AB.100120
UBEREATS0026,1400.0,fanta,AB.100140
7890,5490.0,absolute,AB.075
1591,4490.0,pollo albahaca compartir,AB.400
GETJUSTOEX0018,0.0,jugo de piña promo,BA.200
3390,5157.0,Hamburguesa Hot sin papas,AB.125
6750,5590.0,Campari,AB.075
400050,0.0,sprite,AB.030
4440,13990.0,Hamburguesa Blueshop,AB.100120
4650,6990.0,Hamburguesa Original sin papas,AB.125
7960,5490.0,Gin tonic ,AB.007
6720,6490.0,Herradura Reposado,AB.075
7290,5990.0,Jose cuervo,AB.075
6740,5990.0,Jagermeister,AB.075
3260,3590.0,CUSQUENA,AB.080
7460,892.0,Bramble,AB.075
4000,10990.0,2 papas grandes + 2 bebidas,AB.070
40030,0.0,mechada compartir promo,AB.070
40060,0.0,mexa compartir promo,AB.070
6800,5490.0,Fernet Branca,AB.075
2330,0.0,pollo albahaca compartir promo,BA.330
7220,5990.0,Mistral Nobel,AB.075
1610,12990.0,Chicken Box Familiar,AB.030
60090,0.0,sprite,AB.030
60100,0.0,coca cola,AB.030
9020,7490.0,Hamburguesa Vegetariana,AB.410
9040,7490.0,Hamburguesa Vegana,AB.410
6580,6990.0,Habana Club 7 años ,AB.075
6610,6590.0,Jack Honny,AB.075
6880,5990.0,Negroni,AB.075
6050,0.0,Hamburguesa Vegetariana con papas promo,AB.420
9070,6490.0,Hamburguesa Clasica,AB.410
6820,0.0,Fentimans Rose	,AB.075
9160,4490.0,choclo champiñon individual,AB.400
GETJUSTOEX0017,0.0,jugo de piña promo,BA.200
6310,0.0,cheese and bacon compartir promo,BA.530
4390,0.0,mexa individual,AB.530
GETJUSTOEX0057,0.0,single fries compartir promo,BA.260
1230,300.0,Salsa picante,AB.040
2340,0.0,mexa compartir promo,BA.330
7240,4990.0,Cacique,AB.075
uberbox10,0.0,coca cola,BA.370
6300,0.0,beefie compartir promo,BA.530
2450,1290.0,sprite sin azucar,AB.050
1940,4990.0,pollo albahaca individual,AB.010
40000,0.0,beefie compartir promo,AB.070
60020,0.0,fanta promo,AB.070
60030,0.0,sprite promo,AB.070
40040,0.0,chicken curry compartir promo,AB.008
4680,4990.0,Absolute,AB.075
4360,0.0,veggie individual,AB.530
9120,4490.0,veggie individual,AB.400
4840,8990.0,c. MIERCOLES MOJITOS 2X$8990,AB.007
8070,0.0,Mojito Mango,AB.007
40010,0.0,cheese and bacon compartir promo,AB.008
6360,0.0,mexa compartir promo,BA.530
7850,8990.0,2 habana especial,AB.550
3350,2990.0,RED BULL,AB.075
4780,4290.0,c. MIERCOLES: 2X1 SCHOP HEINEKEN,AB.007
6350,0.0,veggie compartir promo,BA.530
UBEREATS0020,900.0,choclo champiñon extra,AB.100130
2210,0.0,Hamburguesa Vegetariana con papas promo,BA.325
1500,5990.0,Combo del mes ,AB.420
4880,5990.0,Piscola promo,AB.007
4890,7990.0,golden ale,AB.007
40080,0.0,choclo champiñon compartir promo,AB.070
3150,7332.0,2 Cosmopolitan x 7990,AB.072
4040,9000.0,CAJA MORADO PALL MALL,AB.065
2600,3590.0,Austral Calafate,AB.080
7730,6490.0,Caipiroska,AB.075
9131,4490.0,cheese and bacon compartir,AB.400
6620,5990.0,Stolychnaya,AB.075
4630,4990.0,Moscow mule promo,AB.006
8060,6690.0,Mojito coco mango,AB.075
6450,0.0,St Germain Spritz,AB.075
4000030,0.0,jugo de piña,AB.030
400010,0.0,coca cola sin azucar,AB.030
4340,0.0,beefie individual,AB.530
